Gene ID	Control1	Control2	Control3	shRNA1	shRNA2	shRNA3	shRNA1_FC	shRNA2_FC	shRNA_3_FC																												
1110054M08Rik	3.47063	3.85165	3.47234	3.30367	3.76125	2.84883	3.64015	2.70233	2.99969																												
1110057K04Rik	13.9439	13.3214	14.4391	13.7164	15.104	15.8263	13.9648	13.6857	14.768																												
1110058L19Rik	20.3423	23.8782	28.1626	21.7055	26.5243	23.7097	22.5265	19.7623	23.3687																												
1110059E24Rik	10.2705	12.5198	11.1457	12.3385	12.2904	12.6546	11.5439	11.8098	10.9072																												
1110059G10Rik	4.27695	4.35822	4.44439	4.20319	4.46383	4.42491	4.7632	4.1795	4.36914																												
1110059M19Rik	0.13508	0.788176	1.37939	0.0910631	0.332419	0.106305	0.294116	0.117823	0.456969																												
1110065P20Rik	21.0293	25.6814	28.7527	22.3953	23.7865	24.6097	22.358	23.6529	21.8787																												
1190002F15Rik	0.103306	0.211983	0.175304	0.210294	0.424215	0	0	0.179325	0.116121																												
1190002N15Rik	13.6253	15.669	15.2523	10.9203	12.0003	11.932	11.8442	14.7358	15.8717																												
1190003K10Rik	0	0.046965	0	0	0	0.107682	0.04256	0	0																												
1190005I06Rik	3.83669	5.1802	6.328	4.73247	6.60709	4.86867	4.26457	5.17044	5.58962																												
1190007I07Rik	5.20782	5.68845	7.9357	4.53246	5.86383	6.3486	7.55861	5.84219	6.85298																												
1200014J11Rik	3.47664	2.8352	2.94672	3.45913	3.56071	3.41904	3.50021	3.68106	3.62531																												
1300002E11Rik	5.3837	4.5522	5.83842	5.87189	5.82848	4.93367	5.34934	5.34044	5.73103																												
1300002K09Rik	0	0.0126477	0.0104487	0.0123502	0.040194	0.0290414	0	0.0321661	0.0276953																												
1300017J02Rik	0.0200268	0	0	0	0.0164197	0.0474082	0.0187522	0	0																												
1500004A13Rik	8.22614	6.80556	7.17651	7.5681	7.4851	7.16569	8.81842	7.29415	7.56498																												
1500009C09Rik	35.2449	37.898	34.1763	35.8293	35.8408	41.5615	32.1546	33.8212	31.5725																												
1500009L16Rik	7.63512	9.33009	8.25491	7.30035	7.00738	7.01836	6.04949	7.31002	6.6565																												
1500011B03Rik	45.4329	47.9296	47.7078	44.3385	47.3	51.4505	46.009	44.7938	45.439																												
1500011K16Rik	27.1101	28.354	29.1155	27.2777	27.6743	30.2955	25.3479	26.3097	27.1093																												
1500012F01Rik	25.8444	29.7867	36.29	28.6461	40.4028	34.3679	30.7528	34.3779	35.9073																												
1500012K07Rik	0	0	0	0	0	0	0	0	0																												
1500015A07Rik	2.53979	1.89969	2.0999	2.18568	2.28673	2.32708	2.19017	1.82754	2.22067																												
1500015L24Rik	0.278962	0.501899	0.414905	0.353588	0.228948	0.492663	0.129717	0.121404	0.628286																												
1500015O10Rik	1.12066	2.36651	10.583	0.6571	0.532363	1.45998	1.86775	1.28463	2.39255																												
1500017E21Rik	0	0	0	0	0	0	0	0	0																												
1600002D24Rik	0	0	0	0	0	0	0	0	0																												
1600002H07Rik	2.22248	2.44611	1.74791	1.76733	2.05002	2.352	2.2207	1.86778	1.85797																												
1600002K03Rik	2.82699	4.80822	3.67559	3.32141	4.64206	3.4257	3.11418	2.45671	3.08088																												
1600010M07Rik	0.0953501	0.19575	0.242799	0.193927	0.234888	0.11196	0.353473	0.496873	0																												
1600012H06Rik	6.84987	6.25798	6.62727	5.97022	5.96128	6.4399	5.74181	5.20392	6.03371																												
1600014C10Rik	8.21031	7.59415	7.99926	8.70184	10.4443	9.9084	8.09196	8.9384	8.28281																												
1600014C23Rik	0	0	0.103867	0.249955	0.100671	0	0.226299	0.424722	0.137586																												
1600014K23Rik	0	0	0	0	0	0.0745072	0	0	0																												
1600015I10Rik	0	0	0	0	0	0	0	0	0																												
1600016N20Rik	0	0	0	0	0	0	0	0	0																												
1600019K03Rik	0	0	0	0	0	0	0	0	0																												
1600020E01Rik	4.14433	5.83029	5.02767	5.57482	6.17835	6.04544	5.44514	5.3667	6.13954																												
1600023N17Rik	0.302914	0.259833	0.2577	0.306498	0.124254	0.357373	0.282453	0.0880305	0.170739																												
1600025M17Rik	0	0	0	0	0	0	0	0	0																												
1600027J07Rik	0.133784	0	0	0	0	0	0	0	0																												
1600029I14Rik	0	0	0	0	0	0	0	0	0																												
1600029O15Rik	0.392505	0.583119	0.40925	0.714196	0.348229	0.527468	0.553865	0.359794	0.292966																												
1700001C02Rik	0	0	0.199581	0	0	0	0.145488	0	0																												
1700001C19Rik	0	0.074379	0	0.058675	0.047667	0.0426498	0.0674511	0	0.0646648																												
1700001D01Rik	0	0	0	0	0	0	0	0	0																												
1700001F09Rik	0	0	0	0	0	0	0	0	0																												
1700001G11Rik	0	0	0	0	0	0	0	0	0																												
1700001G17Rik	0.235597	0.12119	0.200345	0.417565	0.289973	0.208279	0.21943	0.410508	0.331835																												
1700001J03Rik	0	0	0.118544	0.212153	0	0	0.097288	0.0607019	0.0785357																												
1700001J11Rik	0.238436	0.227007	0.0937757	0.129443	0.105261	0.108565	0.154601	0.120261	0.186417																												
1700001K19Rik	0.21594	0.500009	0.413269	0.546451	0.265753	0.318335	0.402515	0.47052	0.365078																												
1700001K23Rik	0	0	0	0	0.110298	0	0	0.116197	0																												
1700001L05Rik	0.728853	0.539996	0.962926	1.06456	0.839942	0.876696	0.805513	0.622022	0.652367																												
1700001L19Rik	3.7343	3.6374	4.47525	3.35229	3.6956	3.41198	2.96378	3.21762	3.2561																												
1700001O22Rik	2.33047	4.73677	2.80251	1.88011	2.07213	2.16505	3.25821	2.44045	3.43725																												
1700001P01Rik	0.187305	0	0	0	0.384497	0.439946	0.0868148	0	0.526626																												
1700003C15Rik	0	0	0	0	0	0	0	0	0																												
1700003D09Rik	0	0	0	0	0	0	0	0	0																												
1700003E16Rik	6.61683	6.68414	6.70742	6.42533	5.55407	7.00702	5.45883	6.33158	6.10328																												
1700003E24Rik	0	0	0	0	0	0	0	0	0																												
1700003E24Rik	0	0	0	0	0	0	0	0	0																												
1700003F12Rik	0.301456	0.464726	0.128067	0.0764681	0.247437	0	0.28014	0.0655651	0.339369																												
1700003G13Rik	0	0	0	0	0	0	0	0	0																												
1700003G18Rik	0	0	0	0	0	0	0	0	0.106266																												
1700003H04Rik	0	0	0	0	0	0	0	0	0																												
1700003L19Rik	0	0	0	0	0	0.0866757	0.0684566	0	0																												
1700003M02Rik	0.0818739	0.084398	0.185963	0.0550856	0.0895164	0.161387	0.0510578	0.047682	0.184832																												
1700003M07Rik	5.65779	5.68268	7.77641	5.12167	6.05408	5.88461	5.77545	5.60205	5.66533																												
1700003P14Rik	0	0	0	0	0	0	0	0	0																												
1700006A11Rik	0	0	0	0	0	0	0	0	0																												
1700006E09Rik	0	0	0	0	0	0	0	0	0																												
1700006F04Rik	0	0	0	0	0	0	0	0	0																												
1700006H21Rik	0	0	0	0	0	0	0	0	0																												
1700007B14Rik	0	0.116075	0.115086	0.158966	0.0553797	0.0799228	0.0421479	0.0983787	0.0508391																												
1700007F19Rik	0.0286679	0.0590983	0.170913	0.0289365	0.0940343	0.169503	0.187681	0.200325	0.161783																												
1700007G11Rik	0	0.252235	0.364867	0.248414	0.100607	0.0722414	0.0570778	0.0533967	0.0690665																												
1700007J10Rik	0	0	0	0	0	0	0	0	0																												
1700007K09Rik	0	0	0.0712861	0	0.0689079	0	0	0	0																												
1700007K13Rik	1.2703	1.78747	1.98908	0.813273	0.658416	1.02363	0.622024	0.523866	0.753017																												
1700007L15Rik	0.294079	0.226702	0.249888	0.372906	0.301716	0.173051	0.410029	0.383824	0.331097																												
1700007P06Rik	0.259591	0.600672	0.16551	0.197314	0.372801	0.152896	0.181185	0.169531	0.365509																												
1700008F21Rik	0.0481726	0	0	0.0487299	0.0395187	0	0	0	0.0543125																												
1700008I05Rik	0	0	0	0	0	0	0	0	0																												
1700008J07Rik	1.21119	1.11468	1.25439	1.37148	1.34439	1.36763	1.18668	1.17289	1.28363																												
1700008K24Rik	0.164589	0	0.279589	0.0835649	0.0549555	0	0.0623006	0.0715522	0.0701881																												
1700008O03Rik	0.399972	0.764277	0.291561	0.405005	0.421944	0.606275	0.425846	0.54766	0.321948																												
1700008P02Rik	0	0	0	0	0	0	0	0	0																												
1700009C05Rik	0.0687149	0	0	0.0696697	0.0563941	0	0	0	0																												
1700009J07Rik	0	0.0585527	0	0.0576214	0.0466921	0	0	0.0495862	0																												
1700009N14Rik	0	0	0	0	0	0	0	0	0																												
1700009P17Rik	0.538535	0.705581	1.2496	0.29717	0.441797	0.288845	0.456603	0.64033	0.275976																												
1700010B08Rik	0	0	0	0	0	0	0	0	0																												
1700010D01Rik	0	0	0	0	0	0	0	0	0																												
1700010I02Rik	0	0	0	0	0	0	0	0	0																												
1700010I14Rik	0.567991	0.534676	0.841479	0.498313	0.566979	0.55509	0.55461	0.431559	0.557579																												
1700010J16Rik	0	0	0	0	0	0	0	0	0																												
1700010K23Rik	0	0	0	0	0	0	0	0	0																												
1700011A15Rik	0	0	0	0	0	0	0	0	0																												
1700011B04Rik	0	0	0	0	0	0	0	0	0																												
1700011E24Rik	0.0625802	0	0	0	0.0513529	0	0	0	0																												
1700011H14Rik	0	0	0	0	0	0	0.0395744	0	0																												
1700011I03Rik	0.106198	0.0546477	0	0.0537429	0	0	0	0	0																												
1700011L22Rik	0	0	0	0	0	0	0	0	0																												
1700011M02Rik	0.170977	0	0	0	0	0	0	0	0																												
1700012A03Rik	0	0	0	0	0	0	0	0	0																												
1700012B07Rik	0	0	0	0.111449	0	0	0	0	0																												
1700012B09Rik	0.0824559	0.338823	0.420202	0	0	0.0969508	0	0	0.0927899																												
1700012D01Rik	1.61741	1.08011	1.16778	1.23159	1.26135	1.61675	0.826054	0.984517	1.00115																												
1700012D14Rik	0.185244	0.38036	0.235884	0.18832	0.304206	0.435151	0.343485	0.241383	0.520859																												
1700012I11Rik	0	0	0	0	0	0	0	0	0																												
1700012L04Rik	0	0	0.0622165	0.0380968	0	0	0	0	0																												
1700012P22Rik	0	0	0	0	0	0	0	0	0																												
1700013D24Rik	0	0	0	0	0	0	0	0	0																												
1700013F07Rik	0.705824	0.620809	1.28345	0.307802	0.496841	0.23666	0.747041	0.700266	0.793485																												
1700013G24Rik	0	0	0	0	0	0	0	0	0																												
1700013H16Rik	0	0	0	0	0	0.0473508	0	0	0																												
1700015E13Rik	0.156331	0.240958	0.265616	0.396676	0.192487	0.459738	0.217831	0.0679859	0.175965																												
1700015F17Rik	0.0786036	0.0807674	0.0667747	0	0.0645226	0	0	0	0.0884735																												
1700015G11Rik	0	0	0	0	0	0	0	0	0																												
1700016C15Rik	0	0	0.0622553	0	0	0	0	0	0																												
1700016D06Rik	0	0	0	0	0	0	0	0	0																												
1700016G22Rik	0	0	0	0	0	0	0	0	0																												
1700016H13Rik	0	0	0	0	0	0	0	0	0																												
1700016K19Rik	0.789222	1.45013	1.1986	1.19863	0.78631	0.996995	0.577751	1.08071	0.762351																												
1700016L04Rik	0	0	0.0486594	0	0	0.0674549	0	0.149564	0																												
1700016L21Rik	0	0	0	0	0	0	0	0	0																												
1700016P04Rik	0	0	0	0	0	0	0	0	0																												
1700017B05Rik	2.10329	1.81495	1.89865	2.42094	2.52091	2.64956	2.46972	2.69086	2.3266																												
1700017D01Rik	0	0	0	0.0417163	0	0	0	0	0																												
1700017G19Rik	0	0.0191593	0	0	0	0	0	0	0																												
1700017J07Rik	0	0	0	0	0	0	0	0	0																												
1700017N19Rik	0	0	0	0	0	0	0	0	0																												
1700018A04Rik	0	0.080171	0	0.0791868	0	0	0.0724772	0	0.0878198																												
1700018B08Rik	0	0	0	0	0	0	0	0	0																												
1700018B24Rik	0	0	0	0	0	0	0	0	0																												
1700018C11Rik	0	0	0	0	0	0	0	0	0.095396																												
1700018F24Rik	0	0	0	0	0	0	0	0	0																												
1700018G05Rik	0	0	0	0	0.153607	0	0	0	0																												
1700018L02Rik	0	0	0	0	0	0	0	0	0																												
1700019A02Rik	0	0	0.0789741	0	0.0763884	0	0	0.0808141	0																												
1700019B03Rik	0.029246	0	0	0.0885659	0	0	0.02735	0	0																												
1700019B21Rik	0	0	0	0	0	0	0	0	0																												
1700019D03Rik	2.83975	3.21596	2.9025	2.00464	3.01111	2.55615	2.31643	3.11205	2.65978																												
1700019E08Rik	0	0	0	0	0	0	0	0	0																												
1700019G17Rik	3.05378	4.15321	3.6414	3.96206	4.26959	4.08913	2.95676	3.92667	3.70341																												
1700019G24Rik	0.123605	0.126673	0.209549	0.252181	0.101558	0.14472	0.114128	0.107104	0																												
1700019L03Rik	0.168223	0.147257	0.147323	0.144002	0.114956	0	0.0802901	0.100388	0.15823																												
1700019M22Rik	0	0	0	0	0	0	0	0	0																												
1700019N19Rik	0	0.0578507	0.0956325	0.170772	0.0461297	0.0662897	0	0.0489925	0.12672																												
1700019O17Rik	0	0	0	0	0	0	0	0	0																												
1700020A23Rik	0.47878	0.163974	0.0677841	0.404158	0.19732	0.187701	0.222328	0	0.359242																												
1700020D05Rik	0.697588	0.256457	0.5087	0.705789	0.531411	0.529111	0.511128	0.390997	0.617908																												
1700020G17Rik	0	0	0	0	0	0	0	0	0																												
1700020I14Rik	46.7776	50.7465	44.5158	45.0838	42.7133	37.4752	44.1775	45.2828	40.7871																												
1700020L24Rik	0.556274	0.858611	0.662364	0.844766	0.593334	0.393554	0.933001	1.01801	0.564224																												
1700020M21Rik	0	0	0	0	0	0	0	0	0.101288																												
1700020N01Rik	0	0	0	0	0.0389383	0.0560175	0.044278	0	0.0535178																												
1700020N15Rik	0	0	0	0	0	0	0	0	0																												
1700020N18Rik	0.113006	0	0	0.115143	0	0.132451	0	0	0.126957																												
1700021F05Rik	20.0092	21.9028	20.7751	18.9673	19.0429	23.0387	18.3671	19.1056	18.6144																												
1700021F07Rik	0	0	0	0	0	0	0	0	0																												
1700021K19Rik	10.8235	11.5284	10.8561	10.0923	10.8531	11.0526	10.5825	12.1124	10.6876																												
1700021N21Rik	0.0576085	0.237088	0.146975	0.116673	0.0472684	0.135828	0.0536648	0	0.259669																												
1700022A21Rik	0	0	0	0	0	0	0	0	0																												
1700022A22Rik	0	0	0	0	0	0	0	0	0																												
1700022E09Rik	0	0	0	0	0	0	0	0	0																												
1700022H16Rik	0	0	0	0	0	0	0	0	0																												
1700022I11Rik	0.0118436	0	0	0	0.00970885	0	0.0333071	0	0																												
1700023C21Rik	0	0	0	0	0	0	0	0	0																												
1700023E05Rik	0.190668	0.196547	0.208802	0.247402	0.245691	0.25772	0.152877	0.309332	0.307455																												
1700023F02Rik	0	0	0	0	0	0	0	0	0																												
1700023F06Rik	0.0821389	0.549888	0.244693	0.49814	0.471613	0.339512	0.72855	0.107504	0.416899																												
1700023L04Rik	0	0.268242	0.517511	0	0	0.102084	0	0.0755144	0																												
1700024B18Rik	0	0	0	0	0	0	0	0	0																												
1700024F13Rik	0.170251	0.087434	0.289166	0.259401	0.0698857	0.100062	0.158003	0.221988	0.287341																												
1700024G13Rik	0	0.38315	0.158508	0	0.154282	0	0	0.16171	0																												
1700024P04Rik	0	0	0	0	0	0	0	0	0																												
1700024P16Rik	0.261582	0.734625	0.272493	0.454009	0.302742	0.327006	0.313208	0.558982	0.311887																												
1700025B11Rik	0	0	0	0	0	0	0	0	0																												
1700025C18Rik	0	0	0	0	0	0	0	0	0																												
1700025F22Rik	0	0	0	0	0	0	0	0	0																												
1700025F24Rik	0.0584897	0.0601754	0.198956	0	0.0479924	0.137893	0.108958	0.152875	0.263628																												
1700025G04Rik	11.8633	9.89881	10.1202	14.046	12.1778	13.0657	12.0015	11.46	10.8374																												
1700025K24Rik	0	0	0	0	0	0	0	0	0																												
1700025M24Rik	0	0	0	0	0	0	0	0	0																												
1700025N23Rik	0	0	0	0	0	0	0	0	0																												
1700026D08Rik	0.187915	0.193583	0.543904	0.0379728	0.184948	0.0888014	0.245744	0.0984074	0.0847958																												
1700026D11Rik	0	0	0	0	0	0	0	0	0																												
1700026F02Rik	0	0	0	0	0	0	0	0	0																												
1700026L06Rik	0.0847826	0.0870834	0.216004	0	0	0.199324	0	0.0736999	0.095396																												
1700027A15Rik	0	0	0	0	0	0	0	0	0																												
1700027F09Rik	0	0	0	0	0	0	0	0	0																												
1700027H10Rik	0	0	0	0	0	0	0	0	0																												
1700027I24Rik	0	0	0	0	0	0	0	0	0																												
1700027J07Rik	0	0	0	0	0	0	0	0	0																												
1700028B04Rik	0	0	0	0.113601	0	0	0	0	0																												
1700028D13Rik	0	0	0	0	0	0	0	0	0																												
1700028E10Rik	0	0.0546477	0.0903344	0.0543364	0	0.201597	0.0483204	0.138578	0.119701																												
1700028I16Rik	0	0	0	0	0	0	0	0	0																												
1700028J19Rik	0.290895	0.684789	0.601285	0.54608	0.374951	0.343519	0.349171	0.652647	0.515572																												
1700028K03Rik	0	0	0	0	0	0	0	0	0																												
1700028M03Rik	0	0	0	0	0	0	0	0	0																												
1700028P14Rik	0.182052	1.06121	0.361194	0.368831	0.248975	0.572131	0.452048	0.687183	0.410228																												
1700028P15Rik	0	0	0	0	0	0	0	0	0																												
1700029B22Rik	0	0	0	0	0	0	0	0	0																												
1700029F12Rik	0	0	0	0	0	0	0	0	0.0513779																												
1700029H14Rik	0	0	0	0	0	0.0425452	0	0	0																												
1700029I15Rik	1.09979	0.673698	0.37161	0.453426	0	0.76642	0.200887	0	0.245903																												
1700029J03Rik	0	0	0	0	0	0	0	0	0																												
1700029J07Rik	0.737833	0.879493	0.628801	0.727203	0.833413	0.815409	0.921627	1.0896	0.962967																												
1700029M20Rik	0.0316333	0	0	0	0.0259336	0.0187293	0.0148186	0.0276614	0.0178645																												
1700029N11Rik	0	0	0	0	0	0	0	0	0																												
1700029P11Rik	0	0	0.0421427	0	0	0	0	0	0																												
1700030A11Rik	0	0	0	0	0	0	0	0	0																												
1700030C10Rik	0.108601	0.0979567	0.323756	0.328802	0.263451	0.25689	0.431758	0.177886	0.306464																												
1700030F04Rik	0	0	0	0	0.0708942	0	0	0	0																												
1700030F18Rik	0	0.0967847	0	0.0958657	0	0	0	0.0818919	0																												
1700030J22Rik	1.69971	2.00174	2.07681	1.62208	1.4181	1.60318	1.50806	1.77578	1.71598																												
1700030K09Rik	2.76392	2.46544	2.83261	2.65491	3.3072	2.9845	2.71092	2.46526	2.61513																												
1700030L20Rik	0	0	0.0441662	0	0	0	0	0	0																												
1700030M09Rik	0.0533009	0	0	0	0	0	0	0	0																												
1700030N03Rik	0	0	0	0	0.0781715	0	0	0	0																												
1700030O20Rik	0	0	0	0	0	0	0	0	0																												
1700031A10Rik	0	0	0	0	0	0	0	0	0																												
1700031F05Rik	0	0.0365652	0	0	0	0	0	0	0																												
1700031M16Rik	0	0	0	0	0	0	0	0	0																												
1700031P21Rik	0	0	0	0	0	0	0	0	0																												
1700034E13Rik	0	0	0	0	0	0	0	0	0																												
1700034F02Rik	0	0	0	0	0	0	0	0	0																												
1700034G24Rik	0.336438	0.0989598	0.0817872	0.469459	0.157713	0.383509	0.134493	0.0838227	0.216755																												
1700034H15Rik	0	0	0	0	0	0	0	0	0																												
1700034I23Rik	0.0096904	0.0099941	0.00825714	0.0390844	0	0.0344116	0.0725958	0	0.0328287																												
1700034J05Rik	0	0	0	0	0	0	0.0211927	0	0																												
1700034K08Rik	0	0	0	0	0	0	0	0	0																												
1700034O15Rik	0	0	0	0	0	0	0	0	0																												
1700034P13Rik	0	0	0	0	0	0	0	0	0																												
1700036G14Rik	0	0.118402	0	0	0	0	0	0	0																												
1700037C18Rik	1.41399	1.40895	1.3973	1.79896	1.64633	1.39987	1.10656	2.22787	1.18297																												
1700037H04Rik	13.7685	17.7176	19.6453	14.3927	15.3055	16.496	14.1843	17.7991	13.2613																												
1700039E15Rik	0	0	0	0.0272589	0.044298	0	0	0	0																												
1700039E22Rik	0	0	0	0	0.0580075	0	0	0	0																												
1700040L02Rik	0.395627	0.774271	0.740879	0.679694	0.421848	0.887866	0.480293	0.517869	0.75865																												
1700041C23Rik	0	0	0	0	0	0	0	0	0																												
1700041M19Rik	0	0	0	0	0	0	0	0	0																												
1700042B14Rik	0	0.024572	0	0.0241425	0	0	0	0	0																												
1700042G07Rik	0	0	0	0	0	0	0	0	0																												
1700042G15Rik	0	0	0	0	0	0	0	0	0.026262																												
1700042O10Rik	0	0	0	0	0	0	0	0	0																												
1700044C05Rik	0	0	0	0	0	0	0	0	0																												
